No,labels,X,Y,Z,COG_X,COG_Y,COG_Z,Voxels,n,Isq,g,SE,z,p001_uncorr,p05perm
16,unknown,18,-52,-38,18,-52,-38,1,412.006011762656,5.00343721546233,0.305,0.072618555623194,4.20263322617393,3.05182074953336e-05,0.0404675435274839
17,"Angular Gyrus (57), Lateral Occipital Cortex, superior division (11)",54,-54,48,54,-54,48,1,391.005737115629,60.0656139745843,0.553,0.126341380246231,4.37510145001579,0,0.0184942167252302
18,"Angular Gyrus (58), Supramarginal Gyrus, posterior division (10)",54,-50,50,54,-50,50,1,405.996581548825,69.1925549125299,0.628,0.14720206399943,4.2648477909388,3.05182074953336e-05,0.0319833979010582
1,"Precuneous Cortex (47.4), Cingulate Gyrus, posterior division (29.8)",4,-56,20,-0.662,-53.3,28.8,657,428.999999600463,71.7836206133943,-0.711,0.148540264581243,-4.78697761928197,0,0.00399792473763227
2,"Lateral Occipital Cortex, superior division (54.4), Angular Gyrus (6)",46,-70,26,46.1,-67.9,24.4,461,428.999999600463,71.1825583504979,-0.902,0.154392774720691,-5.84501898335293,0,0.000488296151161194
3,"Lateral Occipital Cortex, superior division (62.8), Lateral Occipital Cortex, inferior division (1.5)",-36,-82,28,-40.8,-75.4,26.6,420,428.999999600463,72.5498396242037,-0.901,0.158348089098581,-5.68790751916822,0,0.000488296151161194
4,"Temporal Fusiform Cortex, posterior division (44.3), Temporal Occipital Fusiform Cortex (16.4)",32,-38,-16,31.3,-35.4,-20.4,145,428.999999600463,79.800491606351,-0.825,0.182156201981343,-4.53142538806424,0,0.0109866634011269
5,"Paracingulate Gyrus (33.4), Frontal Pole (7.6)",6,54,10,11.6,51.4,9.81,127,421.000518422574,72.5173497721553,-0.625,0.149802238547636,-4.1703446545871,3.05182074953336e-05,0.0454725790768862
6,"Temporal Fusiform Cortex, posterior division (40.6), Parahippocampal Gyrus, posterior division (29.5)",-30,-38,-18,-29,-37.3,-16.8,118,428.999999600463,73.3864533144515,-0.755,0.154977178772242,-4.87281796813477,0,0.00299081392586231
7,"Frontal Medial Cortex (50.9), Frontal Pole (20.4)",0,54,-10,-0.319,52.2,-10.4,34,415.999206131324,69.8504744165111,-0.603,0.142018654150888,-4.24240329605527,3.05182074953336e-05,0.0334788048639894
8,"Precentral Gyrus (55), Postcentral Gyrus (25)",-60,-4,32,-60,-3.54,30,4,387.994475788437,51.128197173588,-0.464,0.110511653110734,-4.19633301708382,3.05182074953336e-05,0.0414746543392539
9,"Postcentral Gyrus (55), Precentral Gyrus (5)",52,-16,54,52,-16,54,1,387.994475788437,63.1142450917978,-0.544,0.130195059136895,-4.17703862674534,3.05182074953336e-05,0.043977172113955
